iter	BalancedAccuracy	Logloss
75	0.8239834757	0.1374383619
76	0.8243371645	0.1370694221
77	0.8247541976	0.1367050288
78	0.8252968198	0.1362533817
79	0.8261207251	0.1357225641
80	0.826700495	0.1353677473
81	0.8271207918	0.1350274863
82	0.8277528948	0.1346686955
83	0.8282586957	0.1343183978
84	0.828660612	0.1339412156
85	0.8291028711	0.133619383
86	0.8294146538	0.1333004903
87	0.8298688346	0.1330355752
88	0.8304559052	0.1326974796
89	0.8311217031	0.132367859
90	0.8314961172	0.1319934511
91	0.8318135085	0.1316516165
92	0.8323079032	0.1313824918
93	0.8327148355	0.1310285039
94	0.8330881417	0.1307875734
95	0.833790632	0.1305020258
96	0.8340534742	0.1301887383
97	0.834524017	0.1298006656
98	0.8347878986	0.1295645736
99	0.8349349261	0.1293129578
100	0.8356875336	0.1289746105
101	0.8361392406	0.1287213821
102	0.8368064729	0.1282527218
103	0.8373172898	0.1280211532
104	0.8375919249	0.1277826798
105	0.8379838693	0.1275783675
106	0.8386293971	0.1272346944
107	0.839294087	0.1268813876
108	0.8395791492	0.1266003672
109	0.8399491313	0.1263734577
110	0.8404697913	0.1260783554
111	0.8410846904	0.1257082352
112	0.8412581807	0.1254724493
113	0.841411272	0.1251885386
114	0.8415768089	0.1249448388
115	0.8421747618	0.1246710613
116	0.8425599295	0.1244499878
117	0.8430397914	0.1241910728
118	0.8432753892	0.123972572
119	0.8438399737	0.1236677795
120	0.843963931	0.1235127793
121	0.8444916941	0.1232110299
122	0.8448676715	0.1228896153
123	0.8452020692	0.1226637143
124	0.8454484205	0.1224259229
125	0.8458962195	0.1221789334
126	0.846331049	0.1218490872
127	0.8466245198	0.1215738833
128	0.8469886357	0.1213550118
129	0.8473775825	0.1211518331
130	0.8478491045	0.1208124274
131	0.8481210683	0.1205721429
132	0.8484502525	0.1203037426
133	0.8488027044	0.1201163418
134	0.8491805714	0.1199240422
135	0.8495240305	0.1196284477
136	0.8496309127	0.1193464957
137	0.8498555595	0.1192745544
138	0.8502742931	0.1190570524
139	0.850597611	0.1188147326
140	0.8506888525	0.1186430826
141	0.8510428676	0.1185253487
142	0.8511271348	0.1183926846
143	0.8516204215	0.1181475878
144	0.8519126555	0.1179494271
145	0.8519920356	0.1177288762
146	0.852226199	0.1175005816
147	0.8525441744	0.1173038866
148	0.8531378929	0.1169655963
149	0.8533208312	0.1168608508
150	0.8535563001	0.1166097291
151	0.8540271693	0.11627274
152	0.8543900484	0.1158963451
153	0.8548493825	0.1156802831
154	0.8553529674	0.1153940681
155	0.855653215	0.1152014526
156	0.8560632136	0.1149814391
157	0.856633338	0.1147029979
158	0.8569034123	0.1145522291
159	0.8570915641	0.1143135206
160	0.8575024732	0.1140565021
161	0.8579910702	0.1137863126
162	0.8583474302	0.1135217717
163	0.8587297291	0.113283941
164	0.8589122121	0.1131522047
165	0.8590929344	0.11300131
166	0.8596600613	0.1126778847
167	0.8601652094	0.1124411751
168	0.8605935199	0.1122455826
169	0.8609706053	0.112076916
170	0.8611435717	0.1118598641
171	0.8616300816	0.1116171656
172	0.861988855	0.1114617035
173	0.8621324297	0.1112522589
174	0.8625130365	0.1109217463
175	0.8627119418	0.1106465796
176	0.8633529087	0.1103652522
177	0.8636348445	0.1101976518
178	0.863843069	0.1100841976
179	0.864164042	0.109940495
180	0.8646193994	0.1097677538
181	0.8650551394	0.1095764173
182	0.8654358751	0.1093605841
183	0.8656276773	0.1091396197
184	0.865823585	0.1090103273
185	0.8661895905	0.1088405229
186	0.866459012	0.1086540803
187	0.8665758661	0.1085201198
188	0.8668738978	0.1082831186
189	0.8673262576	0.1080670309
190	0.8677526785	0.10785998
191	0.868282984	0.10764771
192	0.8683909742	0.1075758249
193	0.8688173951	0.107359982
194	0.8692229617	0.1071953655
195	0.8695766504	0.1069677238
196	0.8698942995	0.106718742
197	0.8701028503	0.1065545375
198	0.8702353451	0.1063804064
199	0.8708758568	0.1061264106
